,id,cellIndex,name,profile,timezone,isActive,lastWeatherStationActivity,current_weather
343,2289c7d0-4fa0-11ed-9972-4f669f2d96bd,872a8478cffffff,Merry Coffee Ozone,M5,America/New_York,True,2024-06-01T14:37:32-04:00,"{'timestamp': '2024-06-01T14:37:32-04:00', 'temperature': 26.7, 'humidity': 29, 'wind_speed': 0.39, 'wind_gust': 0.51, 'wind_direction': 302, 'solar_irradiance': 273.74590163934425, 'uv_index': 2, 'precipitation': 0, 'pressure': 986.25, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 7.1942860201419485, 'feels_like': 26.7}"
344,000db690-4f9a-11ed-9972-4f669f2d96bd,8726811abffffff,Lone Azure Troposphere,M5,America/Denver,True,2024-06-01T12:37:17-06:00,"{'timestamp': '2024-06-01T12:37:17-06:00', 'temperature': 19.3, 'humidity': 23, 'wind_speed': 0.84, 'wind_gust': 1.02, 'wind_direction': 75, 'solar_irradiance': 850.0901639344262, 'uv_index': 7, 'precipitation': 0, 'pressure': 735.34, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': -2.362781032663645, 'feels_like': 19.3}"
345,b95a8f20-1e20-11ed-9972-4f669f2d96bd,871ee312cffffff,Massive Clay Sleet,M5,Europe/Bucharest,True,2024-06-01T21:37:26+03:00,"{'timestamp': '2024-06-01T21:37:26+03:00', 'temperature': 23.2, 'humidity': 69, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 187, 'solar_irradiance': 0.00819672131147541, 'uv_index': 0, 'precipitation': 0, 'pressure': 1004.22, 'icon': 'partly-cloudy-night', 'precipitation_accumulated': 0, 'dew_point': 17.198140582906486, 'feels_like': 23.2}"
346,248066c0-1e13-11ed-9972-4f669f2d96bd,873f6cc95ffffff,Rhythmic Zaffre Climatology,M5,Europe/Istanbul,True,2024-06-01T21:37:31+03:00,"{'timestamp': '2024-06-01T21:37:31+03:00', 'temperature': 19.3, 'humidity': 48, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 351, 'solar_irradiance': 0, 'uv_index': 0, 'precipitation': 0, 'pressure': 875.83, 'icon': 'partly-cloudy-night', 'precipitation_accumulated': 0, 'dew_point': 8.014931248176849, 'feels_like': 19.3}"
347,125327d0-1c7e-11ed-9972-4f669f2d96bd,8728d5430ffffff,Polar Tomato Longitude,M5,America/Los_Angeles,True,2024-06-01T11:37:43-07:00,"{'timestamp': '2024-06-01T11:37:43-07:00', 'temperature': 15.8, 'humidity': 68, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 304, 'solar_irradiance': 148.12295081967213, 'uv_index': 1, 'precipitation': 0, 'pressure': 999.36, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 9.905342360632423, 'feels_like': 15.8}"
348,79596b20-1ddb-11ed-960b-b351f0b0cc44,872792662ffffff,Fine Maroon Rainfall,M5,America/Denver,True,2024-06-01T12:37:33-06:00,"{'timestamp': '2024-06-01T12:37:33-06:00', 'temperature': 19.3, 'humidity': 30, 'wind_speed': 2.7, 'wind_gust': 3.57, 'wind_direction': 56, 'solar_irradiance': 581.7049180327868, 'uv_index': 5, 'precipitation': 0, 'pressure': 880.17, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 1.284692865853096, 'feels_like': 19.3}"
349,f31002c0-4e01-11ed-960f-d7d4cf200cc9,8729a8440ffffff,Calm Obsidian Pluviometer,M5,America/Los_Angeles,True,2024-06-01T11:37:27-07:00,"{'timestamp': '2024-06-01T11:37:27-07:00', 'temperature': 30.8, 'humidity': 29, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 196, 'solar_irradiance': 19.71311475409836, 'uv_index': 0, 'precipitation': 0, 'pressure': 998.14, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 10.71888482059127, 'feels_like': 29.558719768320014}"
350,cdf6be60-1c98-11ed-9972-4f669f2d96bd,8744ebca4ffffff,Wide Daisy Hypercane,M5,America/Chicago,True,2024-06-01T13:37:42-05:00,"{'timestamp': '2024-06-01T13:37:42-05:00', 'temperature': 22.7, 'humidity': 75, 'wind_speed': 3.03, 'wind_gust': 3.57, 'wind_direction': 142, 'solar_irradiance': 240.35245901639345, 'uv_index': 2, 'precipitation': 0, 'pressure': 994.79, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 3.8099999999999454, 'dew_point': 18.04052143067751, 'feels_like': 22.7}"
351,1b5e79a0-d837-11ec-a651-5fda0296159f,87268cd82ffffff,Happy Citrine Duststorm,M5,America/Denver,True,2024-06-01T12:37:34-06:00,"{'timestamp': '2024-06-01T12:37:34-06:00', 'temperature': 27, 'humidity': 22, 'wind_speed': 0.19, 'wind_gust': 0.51, 'wind_direction': 91, 'solar_irradiance': 577.5491803278688, 'uv_index': 5, 'precipitation': 0, 'pressure': 828.34, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 3.4701807379810385, 'feels_like': 26.217761448000015}"
352,b5b98770-4fa0-11ed-9972-4f669f2d96bd,872a90195ffffff,Handsome Burlap Sleet,M5,America/New_York,True,2024-06-01T14:37:35-04:00,"{'timestamp': '2024-06-01T14:37:35-04:00', 'temperature': 26.7, 'humidity': 48, 'wind_speed': 1.29, 'wind_gust': 2.04, 'wind_direction': 265, 'solar_irradiance': 758.1639344262295, 'uv_index': 7, 'precipitation': 0, 'pressure': 980.06, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 14.783760312290937, 'feels_like': 26.7}"
353,ad38fb40-1dcc-11ed-960f-d7d4cf200cc9,8712db0eaffffff,Zesty Cedar Hailstones,M5,America/Los_Angeles,True,2024-06-01T11:37:41-07:00,"{'timestamp': '2024-06-01T11:37:41-07:00', 'temperature': 17.4, 'humidity': 44, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 330, 'solar_irradiance': 370.0409836065574, 'uv_index': 3, 'precipitation': 0, 'pressure': 943.31, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 5.018105578100772, 'feels_like': 17.4}"
354,2ec85d50-4df6-11ed-960f-d7d4cf200cc9,872a8b9b5ffffff,Skinny Brick Spring,M5,America/New_York,True,2024-06-01T14:37:42-04:00,"{'timestamp': '2024-06-01T14:37:42-04:00', 'temperature': 27.5, 'humidity': 36, 'wind_speed': 0, 'wind_gust': 0, 'wind_direction': 160, 'solar_irradiance': 718.9180327868852, 'uv_index': 6, 'precipitation': 0, 'pressure': 1005.68, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 11.101544767514794, 'feels_like': 27.159544299999993}"
355,ecbddf40-50e6-11ed-960b-b351f0b0cc44,87da94a1bffffff,Overcast Mandarin Cumulonimbus,M5,Pacific/Auckland,True,2024-06-02T06:37:24+12:00,"{'timestamp': '2024-06-02T06:37:24+12:00', 'temperature': 9.7, 'humidity': 74, 'wind_speed': 1.09, 'wind_gust': 1.53, 'wind_direction': 23, 'solar_irradiance': 0, 'uv_index': 0, 'precipitation': 0, 'pressure': 1021.23, 'icon': 'partly-cloudy-night', 'precipitation_accumulated': 0, 'dew_point': 5.288245671161967, 'feels_like': 9.7}"
356,b6a8d750-d8ed-11ec-960f-d7d4cf200cc9,872a930f3ffffff,Slow Mauvelous Pollution,M5,America/New_York,True,2024-06-01T14:37:37-04:00,"{'timestamp': '2024-06-01T14:37:37-04:00', 'temperature': 26.7, 'humidity': 53, 'wind_speed': 0.13, 'wind_gust': 0.51, 'wind_direction': 52, 'solar_irradiance': 249.95081967213116, 'uv_index': 2, 'precipitation': 0, 'pressure': 995.77, 'icon': 'partly-cloudy-day', 'precipitation_accumulated': 0, 'dew_point': 16.33069058659157, 'feels_like': 26.7}"
